full_table_name,table,column,column_data_type
bigquery-public-data.thelook_ecommerce.distribution_centers,distribution_centers,id,INTEGER
bigquery-public-data.thelook_ecommerce.distribution_centers,distribution_centers,name,STRING
bigquery-public-data.thelook_ecommerce.distribution_centers,distribution_centers,latitude,FLOAT
bigquery-public-data.thelook_ecommerce.distribution_centers,distribution_centers,longitude,FLOAT
bigquery-public-data.thelook_ecommerce.distribution_centers,distribution_centers,distribution_center_geom,GEOGRAPHY
bigquery-public-data.thelook_ecommerce.events,events,id,INTEGER
bigquery-public-data.thelook_ecommerce.events,events,user_id,INTEGER
bigquery-public-data.thelook_ecommerce.events,events,sequence_number,INTEGER
bigquery-public-data.thelook_ecommerce.events,events,session_id,STRING
bigquery-public-data.thelook_ecommerce.events,events,created_at,TIMESTAMP
bigquery-public-data.thelook_ecommerce.events,events,ip_address,STRING
bigquery-public-data.thelook_ecommerce.events,events,city,STRING
bigquery-public-data.thelook_ecommerce.events,events,state,STRING
bigquery-public-data.thelook_ecommerce.events,events,postal_code,STRING
bigquery-public-data.thelook_ecommerce.events,events,browser,STRING
bigquery-public-data.thelook_ecommerce.events,events,traffic_source,STRING
bigquery-public-data.thelook_ecommerce.events,events,uri,STRING
bigquery-public-data.thelook_ecommerce.events,events,event_type,STRING
bigquery-public-data.thelook_ecommerce.inventory_items,inventory_items,id,INTEGER
bigquery-public-data.thelook_ecommerce.inventory_items,inventory_items,product_id,INTEGER
bigquery-public-data.thelook_ecommerce.inventory_items,inventory_items,created_at,TIMESTAMP
bigquery-public-data.thelook_ecommerce.inventory_items,inventory_items,sold_at,TIMESTAMP
bigquery-public-data.thelook_ecommerce.inventory_items,inventory_items,cost,FLOAT
bigquery-public-data.thelook_ecommerce.inventory_items,inventory_items,product_category,STRING
bigquery-public-data.thelook_ecommerce.inventory_items,inventory_items,product_name,STRING
bigquery-public-data.thelook_ecommerce.inventory_items,inventory_items,product_brand,STRING
bigquery-public-data.thelook_ecommerce.inventory_items,inventory_items,product_retail_price,FLOAT
bigquery-public-data.thelook_ecommerce.inventory_items,inventory_items,product_department,STRING
bigquery-public-data.thelook_ecommerce.inventory_items,inventory_items,product_sku,STRING
bigquery-public-data.thelook_ecommerce.inventory_items,inventory_items,product_distribution_center_id,INTEGER
bigquery-public-data.thelook_ecommerce.order_items,order_items,id,INTEGER
bigquery-public-data.thelook_ecommerce.order_items,order_items,order_id,INTEGER
bigquery-public-data.thelook_ecommerce.order_items,order_items,user_id,INTEGER
bigquery-public-data.thelook_ecommerce.order_items,order_items,product_id,INTEGER
bigquery-public-data.thelook_ecommerce.order_items,order_items,inventory_item_id,INTEGER
bigquery-public-data.thelook_ecommerce.order_items,order_items,status,STRING
bigquery-public-data.thelook_ecommerce.order_items,order_items,created_at,TIMESTAMP
bigquery-public-data.thelook_ecommerce.order_items,order_items,shipped_at,TIMESTAMP
bigquery-public-data.thelook_ecommerce.order_items,order_items,delivered_at,TIMESTAMP
bigquery-public-data.thelook_ecommerce.order_items,order_items,returned_at,TIMESTAMP
bigquery-public-data.thelook_ecommerce.order_items,order_items,sale_price,FLOAT
bigquery-public-data.thelook_ecommerce.orders,orders,order_id,INTEGER
bigquery-public-data.thelook_ecommerce.orders,orders,user_id,INTEGER
bigquery-public-data.thelook_ecommerce.orders,orders,status,STRING
bigquery-public-data.thelook_ecommerce.orders,orders,gender,STRING
bigquery-public-data.thelook_ecommerce.orders,orders,created_at,TIMESTAMP
bigquery-public-data.thelook_ecommerce.orders,orders,returned_at,TIMESTAMP
bigquery-public-data.thelook_ecommerce.orders,orders,shipped_at,TIMESTAMP
bigquery-public-data.thelook_ecommerce.orders,orders,delivered_at,TIMESTAMP
bigquery-public-data.thelook_ecommerce.orders,orders,num_of_item,INTEGER
bigquery-public-data.thelook_ecommerce.products,products,id,INTEGER
bigquery-public-data.thelook_ecommerce.products,products,cost,FLOAT
bigquery-public-data.thelook_ecommerce.products,products,category,STRING
bigquery-public-data.thelook_ecommerce.products,products,name,STRING
bigquery-public-data.thelook_ecommerce.products,products,brand,STRING
bigquery-public-data.thelook_ecommerce.products,products,retail_price,FLOAT
bigquery-public-data.thelook_ecommerce.products,products,department,STRING
bigquery-public-data.thelook_ecommerce.products,products,sku,STRING
bigquery-public-data.thelook_ecommerce.products,products,distribution_center_id,INTEGER
bigquery-public-data.thelook_ecommerce.users,users,id,INTEGER
bigquery-public-data.thelook_ecommerce.users,users,first_name,STRING
bigquery-public-data.thelook_ecommerce.users,users,last_name,STRING
bigquery-public-data.thelook_ecommerce.users,users,email,STRING
bigquery-public-data.thelook_ecommerce.users,users,age,INTEGER
bigquery-public-data.thelook_ecommerce.users,users,gender,STRING
bigquery-public-data.thelook_ecommerce.users,users,state,STRING
bigquery-public-data.thelook_ecommerce.users,users,street_address,STRING
bigquery-public-data.thelook_ecommerce.users,users,postal_code,STRING
bigquery-public-data.thelook_ecommerce.users,users,city,STRING
bigquery-public-data.thelook_ecommerce.users,users,country,STRING
bigquery-public-data.thelook_ecommerce.users,users,latitude,FLOAT
bigquery-public-data.thelook_ecommerce.users,users,longitude,FLOAT
bigquery-public-data.thelook_ecommerce.users,users,traffic_source,STRING
bigquery-public-data.thelook_ecommerce.users,users,created_at,TIMESTAMP
bigquery-public-data.thelook_ecommerce.users,users,user_geom,GEOGRAPHY
